id,state,alcConsumption,income,veterans,totalHighSchool,totalAssociates,totalBachelors
1,Alabama,0.12,0.124,0.161,0.316,0.079,0.147
2,Alaska,0.202,0.201,0.338,0.284,0.082,0.184
3,Arizona,0.149,0.148,0.137,0.243,0.085,0.173
4,Arkansas,0.133,0.115,0.151,0.349,0.063,0.138
5,California,0.156,0.158,0.158,0.209,0.078,0.2
6,Colorado,0.175,0.177,0.195,0.219,0.082,0.241
7,Connecticut,0.159,0.17,0.1,0.275,0.075,0.213
8,Delaware,0.157,0.178,0.145,0.312,0.079,0.183
9,District of Columbia,0.249,0.135,0.214,0.182,0.034,0.243
10,Florida,0.15,0.144,0.132,0.296,0.097,0.174
11,Georgia,0.142,0.156,0.18,0.284,0.07,0.182
12,Hawaii,0.197,0.188,0.318,0.285,0.105,0.206
13,Idaho,0.148,0.128,0.134,0.282,0.093,0.168
14,Illinois,0.202,0.165,0.123,0.267,0.078,0.201
15,Indiana,0.148,0.143,0.119,0.343,0.085,0.157
16,Iowa,0.214,0.156,0.123,0.317,0.113,0.186
17,Kansas,0.158,0.154,0.163,0.265,0.081,0.203
18,Kentucky,0.127,0.121,0.145,0.338,0.077,0.13
19,Louisiana,0.16,0.121,0.171,0.338,0.054,0.152
20,Maine,0.17,0.145,0.13,0.323,0.097,0.194
21,Maryland,0.154,0.19,0.208,0.257,0.065,0.207
22,Massachusetts,0.174,0.165,0.111,0.249,0.079,0.232
23,Michigan,0.189,0.143,0.096,0.297,0.093,0.165
24,Minnesota,0.195,0.177,0.118,0.257,0.11,0.227
25,Mississippi,0.128,0.104,0.148,0.3,0.086,0.13
26,Missouri,0.151,0.134,0.135,0.314,0.075,0.171
27,Montana,0.189,0.14,0.132,0.306,0.082,0.195
28,Nebraska,0.203,0.154,0.19,0.272,0.104,0.202
29,Nevada,0.16,0.163,0.164,0.282,0.081,0.152
30,New Hampshire,0.168,0.163,0.103,0.286,0.098,0.217
31,New Jersey,0.158,0.169,0.099,0.282,0.064,0.231
32,New Mexico,0.137,0.128,0.165,0.264,0.08,0.151
33,New York,0.15,0.154,0.109,0.266,0.086,0.196
34,North Carolina,0.136,0.137,0.18,0.266,0.092,0.186
35,North Dakota,0.24,0.159,0.226,0.279,0.135,0.198
36,Ohio,0.181,0.141,0.11,0.339,0.084,0.166
37,Oklahoma,0.129,0.136,0.172,0.317,0.073,0.16
38,Oregon,0.166,0.15,0.129,0.243,0.084,0.192
39,Pennsylvania,0.167,0.152,0.108,0.364,0.079,0.175
40,Rhode Island,0.184,0.143,0.099,0.287,0.082,0.181
41,South Carolina,0.141,0.132,0.178,0.303,0.088,0.167
42,South Dakota,0.174,0.149,0.168,0.306,0.113,0.2
43,Tennessee,0.106,0.129,0.151,0.333,0.067,0.162
44,Texas,0.163,0.16,0.204,0.252,0.067,0.182
45,Utah,0.114,0.173,0.195,0.23,0.099,0.208
46,Vermont,0.179,0.165,0.102,0.307,0.078,0.209
47,Virginia,0.152,0.163,0.271,0.246,0.073,0.209
48,Washington,0.171,0.172,0.182,0.228,0.1,0.21
49,West Virginia,0.096,0.113,0.129,0.411,0.065,0.118
50,Wisconsin,0.221,0.16,0.12,0.319,0.103,0.189
51,Wyoming,0.172,0.162,0.187,0.274,0.107,0.179
52,Puerto Rico,0.132,0.049,0.148,0.279,0.093,0.174
